Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
missing_03_age_group,missing,age_group,30,lda,0.9572,0.9876,0.8123,0.8914
missing_03_age_group,missing,age_group,30,lr,0.942,0.9773,0.7496,0.8484
missing_03_age_group,missing,age_group,30,et,0.9626,0.9091,0.9194,0.9142
missing_03_age_group,missing,age_group,30,rf,0.8674,0.7242,0.6262,0.6717
missing_03_age_group,missing,age_group,30,knn,0.8485,0.6614,0.6154,0.6376
missing_03_age_group,missing,age_group,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_age_group,missing,age_group,30,nb,0.82,0.7065,0.2888,0.41
missing_03_age_group,missing,age_group,30,dt,0.8503,0.7171,0.5097,0.5959
missing_03_age_group,missing,age_group,30,svm,0.5851,0.3087,0.7388,0.4354
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,lda,0.9534,0.9864,0.7959,0.881
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,lr,0.9449,0.9771,0.7633,0.8571
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,et,0.9532,0.8784,0.9097,0.8938
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,rf,0.8677,0.7229,0.6309,0.6738
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,knn,0.8436,0.639,0.6383,0.6387
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,nb,0.8197,0.7027,0.2901,0.4106
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,dt,0.8324,0.7106,0.3817,0.4966
missing_03_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,30,svm,0.7,0.4048,0.8194,0.5419
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,lda,0.9557,0.9872,0.8057,0.8873
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,lr,0.9426,0.974,0.7552,0.8508
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,et,0.9599,0.9026,0.9134,0.908
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,rf,0.8671,0.7218,0.6287,0.672
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,knn,0.8437,0.6316,0.6677,0.6492
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,nb,0.8199,0.7066,0.2885,0.4097
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,dt,0.7818,0.4973,0.6572,0.5662
missing_03_cb_person_default_on_file,missing,cb_person_default_on_file,30,svm,0.3294,0.2362,0.9387,0.3775
missing_03_income_group,missing,income_group,30,lda,0.9555,0.9891,0.8033,0.8866
missing_03_income_group,missing,income_group,30,lr,0.9397,0.9721,0.7427,0.842
missing_03_income_group,missing,income_group,30,et,0.9594,0.8996,0.9147,0.9071
missing_03_income_group,missing,income_group,30,rf,0.8656,0.7226,0.6156,0.6648
missing_03_income_group,missing,income_group,30,knn,0.8477,0.6596,0.6135,0.6357
missing_03_income_group,missing,income_group,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_income_group,missing,income_group,30,nb,0.8198,0.7051,0.2891,0.4101
missing_03_income_group,missing,income_group,30,dt,0.4458,0.2756,0.9568,0.4279
missing_03_income_group,missing,income_group,30,svm,0.5851,0.3087,0.7388,0.4354
missing_03_loan_amnt,missing,loan_amnt,30,lda,0.9533,0.9876,0.7943,0.8804
missing_03_loan_amnt,missing,loan_amnt,30,lr,0.9404,0.9751,0.744,0.844
missing_03_loan_amnt,missing,loan_amnt,30,et,0.9544,0.8839,0.9087,0.8962
missing_03_loan_amnt,missing,loan_amnt,30,rf,0.8659,0.7246,0.6146,0.6651
missing_03_loan_amnt,missing,loan_amnt,30,knn,0.8451,0.6443,0.6359,0.6401
missing_03_loan_amnt,missing,loan_amnt,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_loan_amnt,missing,loan_amnt,30,nb,0.8151,0.6458,0.3234,0.431
missing_03_loan_amnt,missing,loan_amnt,30,dt,0.8229,0.6425,0.4108,0.5012
missing_03_loan_amnt,missing,loan_amnt,30,svm,0.6875,0.3792,0.6951,0.4907
missing_03_loan_amount_group,missing,loan_amount_group,30,lda,0.954,0.987,0.7983,0.8827
missing_03_loan_amount_group,missing,loan_amount_group,30,lr,0.9424,0.9724,0.7554,0.8503
missing_03_loan_amount_group,missing,loan_amount_group,30,et,0.9587,0.8974,0.9136,0.9054
missing_03_loan_amount_group,missing,loan_amount_group,30,rf,0.8656,0.7142,0.6322,0.6707
missing_03_loan_amount_group,missing,loan_amount_group,30,knn,0.8434,0.634,0.6551,0.6444
missing_03_loan_amount_group,missing,loan_amount_group,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_loan_amount_group,missing,loan_amount_group,30,nb,0.8201,0.7061,0.2897,0.4109
missing_03_loan_amount_group,missing,loan_amount_group,30,dt,0.8446,0.6718,0.5526,0.6064
missing_03_loan_amount_group,missing,loan_amount_group,30,svm,0.5851,0.3087,0.7388,0.4354
missing_03_loan_grade,missing,loan_grade,30,lda,0.9521,0.9853,0.7907,0.8774
missing_03_loan_grade,missing,loan_grade,30,lr,0.9357,0.9652,0.7294,0.8309
missing_03_loan_grade,missing,loan_grade,30,et,0.9554,0.9001,0.8934,0.8967
missing_03_loan_grade,missing,loan_grade,30,rf,0.8666,0.7193,0.6301,0.6718
missing_03_loan_grade,missing,loan_grade,30,knn,0.843,0.6385,0.634,0.6362
missing_03_loan_grade,missing,loan_grade,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_loan_grade,missing,loan_grade,30,nb,0.8194,0.7084,0.282,0.4034
missing_03_loan_grade,missing,loan_grade,30,dt,0.3084,0.2368,0.9869,0.382
missing_03_loan_grade,missing,loan_grade,30,svm,0.8097,0.7414,0.1867,0.2983
missing_03_loan_int_rate,missing,loan_int_rate,30,lda,0.9524,0.9867,0.791,0.8781
missing_03_loan_int_rate,missing,loan_int_rate,30,lr,0.9397,0.9766,0.7394,0.8416
missing_03_loan_int_rate,missing,loan_int_rate,30,et,0.9451,0.8645,0.8854,0.8748
missing_03_loan_int_rate,missing,loan_int_rate,30,rf,0.8675,0.7259,0.6238,0.671
missing_03_loan_int_rate,missing,loan_int_rate,30,knn,0.8572,0.7057,0.5843,0.6393
missing_03_loan_int_rate,missing,loan_int_rate,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_loan_int_rate,missing,loan_int_rate,30,nb,0.8192,0.7109,0.2788,0.4005
missing_03_loan_int_rate,missing,loan_int_rate,30,dt,0.8317,0.7162,0.3691,0.4871
missing_03_loan_int_rate,missing,loan_int_rate,30,svm,0.8276,0.7642,0.2947,0.4254
missing_03_loan_intent,missing,loan_intent,30,lda,0.9524,0.9798,0.7967,0.8788
missing_03_loan_intent,missing,loan_intent,30,lr,0.9355,0.9576,0.7349,0.8316
missing_03_loan_intent,missing,loan_intent,30,et,0.9496,0.8751,0.8949,0.8849
missing_03_loan_intent,missing,loan_intent,30,rf,0.8661,0.7148,0.6356,0.6729
missing_03_loan_intent,missing,loan_intent,30,knn,0.8419,0.6249,0.6753,0.6491
missing_03_loan_intent,missing,loan_intent,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_loan_intent,missing,loan_intent,30,nb,0.8197,0.7041,0.2889,0.4097
missing_03_loan_intent,missing,loan_intent,30,dt,0.8014,0.8851,0.0956,0.1726
missing_03_loan_intent,missing,loan_intent,30,svm,0.8271,0.7201,0.3302,0.4528
missing_03_loan_percent_income,missing,loan_percent_income,30,lda,0.9536,0.9858,0.7972,0.8815
missing_03_loan_percent_income,missing,loan_percent_income,30,lr,0.9393,0.9739,0.7394,0.8406
missing_03_loan_percent_income,missing,loan_percent_income,30,et,0.9549,0.8867,0.9076,0.8971
missing_03_loan_percent_income,missing,loan_percent_income,30,rf,0.8448,0.645,0.6304,0.6376
missing_03_loan_percent_income,missing,loan_percent_income,30,knn,0.8562,0.7093,0.569,0.6315
missing_03_loan_percent_income,missing,loan_percent_income,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_loan_percent_income,missing,loan_percent_income,30,nb,0.8201,0.707,0.2894,0.4107
missing_03_loan_percent_income,missing,loan_percent_income,30,dt,0.3294,0.2362,0.9387,0.3775
missing_03_loan_percent_income,missing,loan_percent_income,30,svm,0.784,1.0,0.0026,0.0051
missing_03_person_age,missing,person_age,30,lda,0.9539,0.9866,0.798,0.8823
missing_03_person_age,missing,person_age,30,lr,0.9381,0.9757,0.7325,0.8368
missing_03_person_age,missing,person_age,30,et,0.9516,0.876,0.9047,0.8901
missing_03_person_age,missing,person_age,30,rf,0.8668,0.7224,0.6251,0.6702
missing_03_person_age,missing,person_age,30,knn,0.8449,0.6379,0.6566,0.6471
missing_03_person_age,missing,person_age,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_person_age,missing,person_age,30,nb,0.8198,0.7072,0.2867,0.408
missing_03_person_age,missing,person_age,30,dt,0.7987,0.9379,0.0755,0.1397
missing_03_person_age,missing,person_age,30,svm,0.2166,0.2166,1.0,0.356
missing_03_person_emp_length,missing,person_emp_length,30,lda,0.9536,0.9828,0.7996,0.8818
missing_03_person_emp_length,missing,person_emp_length,30,lr,0.9379,0.9692,0.7369,0.8372
missing_03_person_emp_length,missing,person_emp_length,30,et,0.9547,0.8856,0.9084,0.8968
missing_03_person_emp_length,missing,person_emp_length,30,rf,0.867,0.7221,0.6269,0.6712
missing_03_person_emp_length,missing,person_emp_length,30,knn,0.845,0.6476,0.6233,0.6352
missing_03_person_emp_length,missing,person_emp_length,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_person_emp_length,missing,person_emp_length,30,nb,0.819,0.704,0.2838,0.4045
missing_03_person_emp_length,missing,person_emp_length,30,dt,0.8063,0.7496,0.1583,0.2614
missing_03_person_emp_length,missing,person_emp_length,30,svm,0.8369,0.7855,0.3396,0.4742
missing_03_person_home_ownership,missing,person_home_ownership,30,lda,0.9509,0.986,0.7843,0.8736
missing_03_person_home_ownership,missing,person_home_ownership,30,lr,0.9383,0.9776,0.7319,0.8371
missing_03_person_home_ownership,missing,person_home_ownership,30,et,0.9519,0.8889,0.8889,0.8889
missing_03_person_home_ownership,missing,person_home_ownership,30,rf,0.866,0.7317,0.6024,0.6608
missing_03_person_home_ownership,missing,person_home_ownership,30,knn,0.841,0.6295,0.6464,0.6378
missing_03_person_home_ownership,missing,person_home_ownership,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_person_home_ownership,missing,person_home_ownership,30,nb,0.8186,0.7016,0.2828,0.4031
missing_03_person_home_ownership,missing,person_home_ownership,30,dt,0.841,0.6531,0.5668,0.6069
missing_03_person_home_ownership,missing,person_home_ownership,30,svm,0.8324,0.7106,0.3817,0.4966
missing_03_person_income,missing,person_income,30,lda,0.9521,0.9836,0.792,0.8775
missing_03_person_income,missing,person_income,30,lr,0.9367,0.9735,0.7277,0.8328
missing_03_person_income,missing,person_income,30,et,0.9367,0.8456,0.8657,0.8555
missing_03_person_income,missing,person_income,30,rf,0.8674,0.7227,0.629,0.6726
missing_03_person_income,missing,person_income,30,knn,0.8426,0.6513,0.5884,0.6182
missing_03_person_income,missing,person_income,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_person_income,missing,person_income,30,nb,0.8206,0.6998,0.301,0.421
missing_03_person_income,missing,person_income,30,dt,0.7834,0.0,0.0,0.0
missing_03_person_income,missing,person_income,30,svm,0.2169,0.2166,0.9998,0.3561
missing_05_age_group,missing,age_group,50,lda,0.9563,0.9878,0.8083,0.8891
missing_05_age_group,missing,age_group,50,lr,0.9453,0.9752,0.7672,0.8588
missing_05_age_group,missing,age_group,50,et,0.9616,0.9057,0.9183,0.9119
missing_05_age_group,missing,age_group,50,rf,0.8679,0.7277,0.6232,0.6714
missing_05_age_group,missing,age_group,50,knn,0.8471,0.6538,0.625,0.6391
missing_05_age_group,missing,age_group,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_age_group,missing,age_group,50,nb,0.8199,0.7064,0.2886,0.4098
missing_05_age_group,missing,age_group,50,dt,0.8454,0.7151,0.476,0.5715
missing_05_age_group,missing,age_group,50,svm,0.8124,0.7354,0.2088,0.3253
missing_05_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,50,lda,0.9518,0.9865,0.7883,0.8763
missing_05_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,50,lr,0.9364,0.9753,0.7246,0.8315
missing_05_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,50,et,0.9496,0.8707,0.901,0.8856
missing_05_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,50,rf,0.8677,0.7235,0.63,0.6735
missing_05_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,50,knn,0.8415,0.6308,0.6461,0.6384
missing_05_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,50,nb,0.8196,0.7019,0.2904,0.4108
missing_05_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,50,dt,0.7768,0.4855,0.5118,0.4983
missing_05_cb_person_cred_hist_length,missing,cb_person_cred_hist_length,50,svm,0.8077,0.551,0.6053,0.5769
missing_05_cb_person_default_on_file,missing,cb_person_default_on_file,50,lda,0.9553,0.9858,0.8051,0.8863
missing_05_cb_person_default_on_file,missing,cb_person_default_on_file,50,lr,0.9377,0.9714,0.7338,0.836
missing_05_cb_person_default_on_file,missing,cb_person_default_on_file,50,et,0.9595,0.9,0.9147,0.9073
missing_05_cb_person_default_on_file,missing,cb_person_default_on_file,50,rf,0.8672,0.7225,0.628,0.672
missing_05_cb_person_default_on_file,missing,cb_person_default_on_file,50,knn,0.8432,0.6356,0.6466,0.641
missing_05_cb_person_default_on_file,missing,cb_person_default_on_file,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_cb_person_default_on_file,missing,cb_person_default_on_file,50,nb,0.8202,0.7075,0.2894,0.4108
missing_05_cb_person_default_on_file,missing,cb_person_default_on_file,50,dt,0.3294,0.2362,0.9387,0.3775
missing_05_cb_person_default_on_file,missing,cb_person_default_on_file,50,svm,0.8158,0.5725,0.5905,0.5813
missing_05_income_group,missing,income_group,50,lda,0.9558,0.9883,0.8054,0.8875
missing_05_income_group,missing,income_group,50,lr,0.9379,0.9704,0.7356,0.8368
missing_05_income_group,missing,income_group,50,et,0.9576,0.8941,0.9124,0.9032
missing_05_income_group,missing,income_group,50,rf,0.8653,0.7203,0.6183,0.6655
missing_05_income_group,missing,income_group,50,knn,0.8459,0.6428,0.6493,0.646
missing_05_income_group,missing,income_group,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_income_group,missing,income_group,50,nb,0.8196,0.7042,0.2883,0.4091
missing_05_income_group,missing,income_group,50,dt,0.7853,0.503,0.748,0.6015
missing_05_income_group,missing,income_group,50,svm,0.7458,0.433,0.5603,0.4885
missing_05_loan_amnt,missing,loan_amnt,50,lda,0.9517,0.9863,0.7881,0.8761
missing_05_loan_amnt,missing,loan_amnt,50,lr,0.9362,0.9746,0.7244,0.8311
missing_05_loan_amnt,missing,loan_amnt,50,et,0.9479,0.8623,0.9037,0.8825
missing_05_loan_amnt,missing,loan_amnt,50,rf,0.8659,0.7249,0.6138,0.6647
missing_05_loan_amnt,missing,loan_amnt,50,knn,0.8464,0.6543,0.6167,0.635
missing_05_loan_amnt,missing,loan_amnt,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_loan_amnt,missing,loan_amnt,50,nb,0.8064,0.5853,0.3647,0.4494
missing_05_loan_amnt,missing,loan_amnt,50,dt,0.8166,0.7844,0.2112,0.3328
missing_05_loan_amnt,missing,loan_amnt,50,svm,0.8143,0.5988,0.432,0.5019
missing_05_loan_amount_group,missing,loan_amount_group,50,lda,0.9522,0.9853,0.7909,0.8775
missing_05_loan_amount_group,missing,loan_amount_group,50,lr,0.9375,0.9611,0.7414,0.8371
missing_05_loan_amount_group,missing,loan_amount_group,50,et,0.9559,0.8861,0.9136,0.8997
missing_05_loan_amount_group,missing,loan_amount_group,50,rf,0.865,0.7098,0.6369,0.6714
missing_05_loan_amount_group,missing,loan_amount_group,50,knn,0.8455,0.6468,0.6321,0.6393
missing_05_loan_amount_group,missing,loan_amount_group,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_loan_amount_group,missing,loan_amount_group,50,nb,0.8204,0.7076,0.291,0.4124
missing_05_loan_amount_group,missing,loan_amount_group,50,dt,0.7369,0.4367,0.7412,0.5496
missing_05_loan_amount_group,missing,loan_amount_group,50,svm,0.5577,0.2971,0.7628,0.4276
missing_05_loan_grade,missing,loan_grade,50,lda,0.9484,0.9828,0.7754,0.8669
missing_05_loan_grade,missing,loan_grade,50,lr,0.9345,0.9482,0.738,0.83
missing_05_loan_grade,missing,loan_grade,50,et,0.9551,0.8908,0.9033,0.897
missing_05_loan_grade,missing,loan_grade,50,rf,0.8665,0.7201,0.6275,0.6706
missing_05_loan_grade,missing,loan_grade,50,knn,0.8377,0.6112,0.6885,0.6476
missing_05_loan_grade,missing,loan_grade,50,mlp,0.8188,0.7092,0.2768,0.3982
missing_05_loan_grade,missing,loan_grade,50,nb,0.7854,0.9831,0.0094,0.0185
missing_05_loan_grade,missing,loan_grade,50,dt,0.5881,0.3101,0.7362,0.4364
missing_05_loan_grade,missing,loan_grade,50,svm,0.8341,0.7252,0.3767,0.4958
missing_05_loan_int_rate,missing,loan_int_rate,50,lda,0.9501,0.9873,0.7797,0.8714
missing_05_loan_int_rate,missing,loan_int_rate,50,lr,0.938,0.9735,0.7338,0.8368
missing_05_loan_int_rate,missing,loan_int_rate,50,et,0.9509,0.8718,0.9068,0.889
missing_05_loan_int_rate,missing,loan_int_rate,50,rf,0.8675,0.7262,0.6235,0.6709
missing_05_loan_int_rate,missing,loan_int_rate,50,knn,0.8555,0.6975,0.5874,0.6377
missing_05_loan_int_rate,missing,loan_int_rate,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_loan_int_rate,missing,loan_int_rate,50,nb,0.819,0.7061,0.2812,0.4022
missing_05_loan_int_rate,missing,loan_int_rate,50,dt,0.8284,0.5955,0.6475,0.6204
missing_05_loan_int_rate,missing,loan_int_rate,50,svm,0.8143,0.7349,0.223,0.3422
missing_05_loan_intent,missing,loan_intent,50,lda,0.9494,0.975,0.7864,0.8706
missing_05_loan_intent,missing,loan_intent,50,lr,0.9334,0.9495,0.7312,0.8262
missing_05_loan_intent,missing,loan_intent,50,et,0.94,0.8391,0.8947,0.866
missing_05_loan_intent,missing,loan_intent,50,rf,0.866,0.7126,0.639,0.6738
missing_05_loan_intent,missing,loan_intent,50,knn,0.8489,0.6465,0.6675,0.6568
missing_05_loan_intent,missing,loan_intent,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_loan_intent,missing,loan_intent,50,nb,0.8194,0.7022,0.2886,0.4091
missing_05_loan_intent,missing,loan_intent,50,dt,0.8027,0.9438,0.0948,0.1723
missing_05_loan_intent,missing,loan_intent,50,svm,0.8271,0.7201,0.3302,0.4528
missing_05_loan_percent_income,missing,loan_percent_income,50,lda,0.9509,0.9844,0.7857,0.8739
missing_05_loan_percent_income,missing,loan_percent_income,50,lr,0.9341,0.9695,0.7185,0.8253
missing_05_loan_percent_income,missing,loan_percent_income,50,et,0.9512,0.8776,0.9004,0.8888
missing_05_loan_percent_income,missing,loan_percent_income,50,rf,0.8469,0.6552,0.6187,0.6364
missing_05_loan_percent_income,missing,loan_percent_income,50,knn,0.8504,0.6963,0.5482,0.6134
missing_05_loan_percent_income,missing,loan_percent_income,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_loan_percent_income,missing,loan_percent_income,50,nb,0.8201,0.707,0.2894,0.4107
missing_05_loan_percent_income,missing,loan_percent_income,50,dt,0.8139,0.8966,0.1593,0.2705
missing_05_loan_percent_income,missing,loan_percent_income,50,svm,0.3294,0.2362,0.9387,0.3775
missing_05_person_age,missing,person_age,50,lda,0.9516,0.9869,0.7868,0.8756
missing_05_person_age,missing,person_age,50,lr,0.9386,0.9764,0.7341,0.8381
missing_05_person_age,missing,person_age,50,et,0.9517,0.8739,0.9081,0.8906
missing_05_person_age,missing,person_age,50,rf,0.8668,0.7225,0.6254,0.6705
missing_05_person_age,missing,person_age,50,knn,0.8451,0.6505,0.6153,0.6324
missing_05_person_age,missing,person_age,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_person_age,missing,person_age,50,nb,0.8196,0.7074,0.2849,0.4062
missing_05_person_age,missing,person_age,50,dt,0.3217,0.239,0.9765,0.3841
missing_05_person_age,missing,person_age,50,svm,0.7879,0.5109,0.4866,0.4985
missing_05_person_emp_length,missing,person_emp_length,50,lda,0.9516,0.9824,0.7907,0.8762
missing_05_person_emp_length,missing,person_emp_length,50,lr,0.9409,0.9719,0.7486,0.8458
missing_05_person_emp_length,missing,person_emp_length,50,et,0.9491,0.8676,0.9026,0.8848
missing_05_person_emp_length,missing,person_emp_length,50,rf,0.867,0.7223,0.6269,0.6712
missing_05_person_emp_length,missing,person_emp_length,50,knn,0.8468,0.6483,0.6398,0.644
missing_05_person_emp_length,missing,person_emp_length,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_person_emp_length,missing,person_emp_length,50,nb,0.8182,0.7016,0.2797,0.4
missing_05_person_emp_length,missing,person_emp_length,50,dt,0.4174,0.2621,0.9308,0.409
missing_05_person_emp_length,missing,person_emp_length,50,svm,0.7167,0.3977,0.599,0.478
missing_05_person_home_ownership,missing,person_home_ownership,50,lda,0.9486,0.9852,0.7744,0.8672
missing_05_person_home_ownership,missing,person_home_ownership,50,lr,0.921,0.9747,0.652,0.7814
missing_05_person_home_ownership,missing,person_home_ownership,50,et,0.8653,0.734,0.593,0.656
missing_05_person_home_ownership,missing,person_home_ownership,50,rf,0.9475,0.8816,0.8752,0.8784
missing_05_person_home_ownership,missing,person_home_ownership,50,knn,0.8456,0.6533,0.6117,0.6319
missing_05_person_home_ownership,missing,person_home_ownership,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_person_home_ownership,missing,person_home_ownership,50,nb,0.8174,0.6974,0.2768,0.3964
missing_05_person_home_ownership,missing,person_home_ownership,50,dt,0.7972,0.9339,0.0684,0.1274
missing_05_person_home_ownership,missing,person_home_ownership,50,svm,0.3544,0.2409,0.921,0.3819
missing_05_person_income,missing,person_income,50,lda,0.9502,0.9858,0.7815,0.8718
missing_05_person_income,missing,person_income,50,lr,0.9353,0.9689,0.7244,0.829
missing_05_person_income,missing,person_income,50,et,0.92,0.8056,0.8312,0.8182
missing_05_person_income,missing,person_income,50,rf,0.8672,0.7223,0.6282,0.672
missing_05_person_income,missing,person_income,50,knn,0.8373,0.6321,0.5948,0.6129
missing_05_person_income,missing,person_income,50,mlp,0.7835,1.0,0.0002,0.0003
missing_05_person_income,missing,person_income,50,nb,0.8207,0.6918,0.3102,0.4284
missing_05_person_income,missing,person_income,50,dt,0.385,0.2471,0.8989,0.3877
missing_05_person_income,missing,person_income,50,svm,0.8379,0.8187,0.3233,0.4635
